Date,home_team,away_team,home_score,away_score,elo_home,elo_away,elo_diff,home_form_wins,home_form_draws,home_form_losses,home_form_gf,home_form_ga,home_form_gd,away_form_wins,away_form_draws,away_form_losses,away_form_gf,away_form_ga,away_form_gd,outcome
1930-07-13,France,Mexico,4,1,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1930-07-13,USA,Belgium,3,0,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1930-07-14,Yugoslavia,Brazil,2,1,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1930-07-14,Romania,Peru,3,1,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1930-07-15,Argentina,France,1,0,1500.0,1528.0,-28.0,0,0,0,0,0,0,1,0,0,4,1,3,1
1930-07-16,Chile,Mexico,3,0,1500.0,1472.0,28.0,0,0,0,0,0,0,0,0,1,1,4,-3,1
1930-07-17,Yugoslavia,Bolivia,4,0,1516.0,1500.0,16.0,1,0,0,2,1,1,0,0,0,0,0,0,1
1930-07-17,USA,Paraguay,3,0,1528.0,1500.0,28.0,1,0,0,3,0,3,0,0,0,0,0,0,1
1930-07-18,Uruguay,Peru,1,0,1500.0,1476.0,24.0,0,0,0,0,0,0,0,0,1,1,3,-2,1
1930-07-19,Argentina,Mexico,6,3,1517.28666330636,1446.2516607861298,71.03500252023014,1,0,0,1,0,1,0,0,2,1,7,-6,1
1930-07-19,Chile,France,1,0,1525.7483392138702,1510.71333669364,15.035002520230137,1,0,0,3,0,3,1,0,1,4,2,2,1
1930-07-20,Paraguay,Belgium,1,0,1474.2516607861298,1472.0,2.2516607861298326,0,0,1,0,3,-3,0,0,1,0,3,-3,1
1930-07-20,Brazil,Bolivia,4,0,1484.0,1471.7621675680157,12.237832431984316,0,0,1,1,2,-1,0,0,1,0,4,-4,1
1930-07-21,Uruguay,Romania,4,0,1514.8965137687414,1524.0,-9.103486231258557,1,0,0,1,0,1,1,0,0,3,1,2,1
1930-07-22,Argentina,Chile,3,1,1539.6403753195273,1541.0563836384235,-1.4160083188962744,2,0,0,7,3,4,2,0,0,4,0,4,1
1930-07-26,Argentina,USA,6,1,1563.7381891673479,1553.7483392138702,9.989849953477687,3,0,0,10,4,6,2,0,0,6,0,6,1
1930-07-27,Uruguay,Yugoslavia,6,1,1545.2719137412837,1544.2378324319843,1.0340813092993812,2,0,0,5,0,5,2,0,0,6,1,5,1
1930-07-30,Uruguay,Argentina,4,2,1576.3790526673854,1594.0413396039667,-17.662286936581268,3,0,0,11,1,10,4,0,0,16,5,11,1
1934-05-27,Czechoslovakia,Romania,2,1,1500.0,1493.6246000274577,6.3753999725422545,0,0,0,0,0,0,1,0,1,3,5,-2,1
1934-05-27,Hungary,Egypt,4,2,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1934-05-27,Austria,France,3,2,1500.0,1495.4052922690867,4.594707730913342,0,0,0,0,0,0,1,0,2,4,3,1,1
1934-05-27,Spain,Brazil,3,1,1500.0,1512.5578208990132,-12.557820899013223,0,0,0,0,0,0,1,0,1,5,2,3,1
1934-05-27,Sweden,Argentina,3,2,1500.0,1568.8223219729377,-68.82232197293774,0,0,0,0,0,0,4,0,1,18,9,9,1
1934-05-27,Italy,USA,7,1,1500.0,1523.4451887772514,-23.44518877725136,0,0,0,0,0,0,2,0,1,7,6,1,1
1934-05-27,Switzerland,Netherlands,3,2,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1934-05-27,Germany,Belgium,5,2,1500.0,1456.1036913595105,43.89630864048945,0,0,0,0,0,0,0,0,2,0,4,-4,1
1934-05-31,Germany,Sweden,2,1,1524.4810794673442,1519.1285717634003,5.352507703943957,1,0,0,5,2,3,1,0,0,3,2,1,1
1934-05-31,Italy,Spain,1,1,1535.0100127118635,1524.8670859786127,10.14292673325076,1,0,0,7,1,6,1,0,0,3,1,2,0
1934-05-31,Czechoslovakia,Switzerland,3,2,1515.7064349300308,1516.0,-0.2935650699691905,1,0,0,2,1,1,1,0,0,3,2,1,1
1934-05-31,Austria,Hungary,2,1,1515.7884182238738,1524.0,-8.211581776126195,1,0,0,3,2,1,1,0,0,4,2,2,1
1934-06-01,Italy,Spain,1,0,1534.5430463271384,1525.3340523633378,9.208993963800594,1,1,0,8,2,6,1,1,0,4,2,2,1
