team,hist_elo,fifa_elo,confidence,blended_elo
France,1887.2,1966.0,0.655,1938.9
Argentina,1823.2,1973.5,0.678,1925.1
Spain,1758.3,1970.0,0.644,1894.6
England,1770.9,1918.9,0.655,1867.9
Netherlands,1907.0,1834.6,0.644,1860.4
Brazil,1851.8,1851.0,0.632,1851.3
Morocco,1707.3,1839.0,1.0,1839.0
Germany,1866.8,1817.5,0.632,1835.6
Portugal,1744.4,1851.3,0.644,1813.2
Belgium,1755.8,1824.7,0.621,1798.6
Croatia,1766.2,1794.3,0.655,1784.6
Senegal,1729.3,1762.7,0.977,1761.9
Mexico,1647.0,1763.9,0.954,1758.5
Colombia,1717.8,1775.9,0.655,1755.9
USA,1579.8,1745.8,0.862,1722.9
Uruguay,1664.4,1747.9,0.598,1714.3
Japan,1651.9,1735.1,0.736,1713.1
Turkey,1697.1,1673.0,0.609,1682.4
Switzerland,1607.9,1722.3,0.644,1681.5
Ecuador,1674.7,1665.0,0.678,1668.1
Austria,1646.0,1663.8,0.586,1656.4
Iran,1545.5,1688.4,0.644,1637.5
South Korea,1550.5,1657.4,0.782,1634.0
Algeria,1585.6,1634.5,0.943,1631.7
Norway,1635.9,1619.4,0.552,1626.8
Sweden,1681.6,1566.4,0.586,1614.1
Egypt,1532.6,1624.9,0.851,1611.1
Australia,1551.9,1643.7,0.632,1609.9
Canada,1536.1,1621.6,0.713,1597.1
Ivory Coast,1578.6,1601.0,0.782,1596.1
Panama,1540.9,1599.1,0.782,1586.4
Paraguay,1590.3,1561.5,0.563,1574.1
Czech Republic,1546.8,1561.9,0.586,1555.7
Scotland,1519.1,1559.3,0.586,1542.7
DR Congo,1533.0,1533.0,0.713,1533.0
Tunisia,1511.4,1529.3,0.805,1525.8
Uzbekistan,1512.5,1512.5,0.598,1512.5
Qatar,1473.8,1500.3,0.816,1495.5
Iraq,1464.8,1501.3,0.747,1492.1
South Africa,1507.2,1476.0,0.851,1480.6
Saudi Arabia,1425.2,1468.4,0.862,1462.4
Bosnia and Herzegovina,1450.5,1430.2,0.529,1439.8
Jordan,1430.8,1430.8,0.713,1430.8
Cape Verde,1412.3,1412.3,0.632,1412.3
Ghana,1484.8,1385.4,0.759,1409.4
Curaçao,1327.5,1327.5,0.414,1327.5
Haiti,1307.4,1325.7,0.414,1314.9
New Zealand,1317.0,1306.2,0.54,1311.2
